w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56
fd7c28f9fd8045f2,fd7c28f9fd8045f2,fd7c28f9fd8045f2,fd7c28f9fd8045f2,fd7c28f9fd8045f2,231d91be38352d7a,306243851b716bf6,149f7dd1efe25ebc,191a909000d7123d,191a909000d7123d,839d5042ee4d8988,5109246885c54360,124bed219eafda9f,51f6c4c889cb71be,839d5042ee4d8988,191a909000d7123d,839d5042ee4d8988,31a0751a273226c0,191a909000d7123d,35d78153ec0ca97e,12a59aea3fe77a5f,191a909000d7123d,124bed219eafda9f,d6e21bdbae6d52bc,d41979e05b99805,ebf729078fe8dee8,a6137d1412146164,180866087d7dd708,d32e84f7bb1f9631,fc1c289ff4c82eae,a0b7467c6857475d,92db57a0aeb3ee8b,2d83793bcd0a55b9,b4e159960b1cc6e,ef892177dd321b8a,bfd2da1a0df8dda5,4c37523b384902e7,6b5a1ba54893478,7a2f9d51a3fe6d43,46c9a936f7358e71,509c82f847421070,ffe3f42c388ac838,fffd1689d69e4963,ffedb2a5b3b4838,fffd1689d69e4963,ffedb2a5b3b4838,ffedb2a5b3b4838,ffedb2a5b3b4838,fff444dcd8f9808f,ffedb2a5b3b4838,ffedb2a5b3b4838,ffedb2a5b3b4838,ffedb2a5b3b4838,fffe76c3a948cdfb,fffe76c3a948cdfb,fffe76c3a948cdfb
54910d2b363221e1,520443b0b8128202,a4bce0d054266d68,a4bce0d054266d68,c0bb01dbe2b2de0f,53010d4139ed029f,d1afc6d7c4661d7e,9ab44ee389767d59,91e804eb002a580d,5109246885c54360,91e804eb002a580d,306243851b716bf6,821d85417c5745a9,821d85417c5745a9,27e142fe4c922f,124bed219eafda9f,821d85417c5745a9,185dba5eea76c25a,124bed219eafda9f,185dba5eea76c25a,185dba5eea76c25a,ec07876930bfd746,185dba5eea76c25a,124bed219eafda9f,ebe4ff79191258b,5ad60d644c47e44b,9d7dca508bc226d5,124bed219eafda9f,9a02bff438965bce,f536e5415399544,c2cd6c9714b58bd3,b4757c8b7ca5a942,e3fc9a1e129b7e21,70fc07695b2e1a24,559c18107a90c848,28639e5d189fa221,823001ae3d13c6cc,ae3f39e1cb8dcb0,29569ec1a59a885a,100bf6cc9d6f88e9,e68b1dc63598f60,ffddaebee5bece5e,ffedb2a5b3b4838,ffe3f42c388ac838,ffedb2a5b3b4838,ffe3d17a83edd05a,ffe3d17a83edd05a,ffe3d17a83edd05a,ffedb2a5b3b4838,ffde16048235a32f,ffde16048235a32f,ffe7939306264854,ffe7939306264854,fff444dcd8f9808f,fff444dcd8f9808f,ffe7939306264854
520443b0b8128202,a4bce0d054266d68,7b042fcc54a45882,d98da6eaa4bb452f,7b042fcc54a45882,a4bce0d054266d68,3792a1c9395e3e2a,839d5042ee4d8988,a4bce0d054266d68,e254fb2201bf1419,306243851b716bf6,a99a477e2c336bb9,306243851b716bf6,306243851b716bf6,821d85417c5745a9,821d85417c5745a9,5109246885c54360,65d1591bd2a6be03,821d85417c5745a9,92679583a8398662,108dc7288cc47571,185dba5eea76c25a,108dc7288cc47571,821d85417c5745a9,e24122826dc317ad,bd3708615c135c36,7d3615396e074a76,86a41d820c77aac1,9b2d519f1e265cbc,7c4855cc790bd0a8,6b39fa6bb7f2577d,16188f336f80c84e,99f090c11b920b19,5d8bb169394a17de,43917a92612a70d,88d1a7981cbeeacc,16cac72aff1a92ce,d787485ff575ab4a,ac641dad76123ef9,6823944d173d0ccd,431f0a93e5a2892f,ffd4835040fd7002,ffe3f42c388ac838,ffdce5869723d832,ffe3d17a83edd05a,ffde16048235a32f,ffde16048235a32f,ffde16048235a32f,ffde16048235a32f,ffd99d6c632283a9,ffc6c128db97ab1d,ffe3d17a83edd05a,ffb36133fb3c44e2,ffedb2a5b3b4838,ffedb2a5b3b4838,ffde16048235a32f
a4bce0d054266d68,d1afc6d7c4661d7e,aed9597fc6984d64,7b042fcc54a45882,c885df69f0e13074,d1afc6d7c4661d7e,7b042fcc54a45882,a4bce0d054266d68,306243851b716bf6,306243851b716bf6,d1afc6d7c4661d7e,d1afc6d7c4661d7e,a99a477e2c336bb9,a99a477e2c336bb9,306243851b716bf6,839d5042ee4d8988,306243851b716bf6,a99a477e2c336bb9,185dba5eea76c25a,a99a477e2c336bb9,92679583a8398662,92679583a8398662,92679583a8398662,108dc7288cc47571,dd09beba51187cdb,ad8e55c35ed8c52e,9a67ffb6ea7cf8bc,65fe43e73d5dc146,35f2e0d14ba9d15d,a6fd82affa490c48,4ff3f9933ee7684e,720d636c1c09cd04,d10e2d2b5e329fc0,7ec9cd7b2b472ba5,a86191db16bde7eb,dd4546cbba71249c,11f08da6ecae6293,ec92930a666cdef5,9947bd97fd590f86,709c20ba021a31a,1a0735379bc599fc,ffcbf697b45f1586,ffddaebee5bece5e,ffcbf697b45f1586,ffb36133fb3c44e2,ffb36133fb3c44e2,ffb36133fb3c44e2,ffdce5869723d832,ffbafb7cc49be72,ffb36133fb3c44e2,ffb36133fb3c44e2,ffde16048235a32f,ffa8eb6c18e09543,ffe7939306264854,ffde16048235a32f,ffb94deefa8aa79f
3792a1c9395e3e2a,7b042fcc54a45882,407d67f50877e6f9,aed9597fc6984d64,aed9597fc6984d64,3792a1c9395e3e2a,a455b3d89d7d6a3b,306243851b716bf6,a99a477e2c336bb9,a99a477e2c336bb9,a99a477e2c336bb9,f77ccadaf64a02bc,c0c1ded47b682442,8dd8a6808f175f0e,d1afc6d7c4661d7e,306243851b716bf6,a99a477e2c336bb9,d1afc6d7c4661d7e,92679583a8398662,d1afc6d7c4661d7e,a99a477e2c336bb9,a99a477e2c336bb9,a99a477e2c336bb9,306243851b716bf6,51ed59e6df607332,aaa805747525a3d0,5a538fdb50c8d9dd,2b0f57aefe749ed0,17ec4918eb101c58,fa80161f9634c2b3,d27305eb30f0fc3,4ff3f9933ee7684e,b171d514dd899c88,5b5863666f850f42,51692350cf8a49eb,8bc55afa64318c00,b7d24ca4d9224c49,b9f63115c9aece1e,78431930a8c001f9,d00eb70bdc0bd57b,1c2d0b8a19d52744,ffb36133fb3c44e2,ffcbf697b45f1586,ffb36133fb3c44e2,ffb1ec5223f1a920,ffadebad4a6c0a75,ff7e5bf81a779007,ffb36133fb3c44e2,ffb36133fb3c44e2,ffa96fa38b711342,ffa96fa38b711342,ffb36133fb3c44e2,ff7e5bf81a779007,ffde16048235a32f,ffb36133fb3c44e2,ffb36133fb3c44e2
7b042fcc54a45882,e67dedcabeb6fefd,145f396033d3aeae,145f396033d3aeae,dabcbbb39cce2ed6,7b042fcc54a45882,c885df69f0e13074,a99a477e2c336bb9,c0c1ded47b682442,d1afc6d7c4661d7e,a455b3d89d7d6a3b,e32ca7352a0ebdf7,6fad5ac80269d82e,f77ccadaf64a02bc,a99a477e2c336bb9,a99a477e2c336bb9,d1afc6d7c4661d7e,f77ccadaf64a02bc,a99a477e2c336bb9,f77ccadaf64a02bc,306243851b716bf6,306243851b716bf6,306243851b716bf6,92679583a8398662,637ba34c99082e76,419f842427a96a7c,dde13e478af7c129,a032ace198e9c257,5593a876abc0b28d,2430269573274c88,fc4165c46af2d028,ebe4ff79191258b,6d79f1ccf39d373,b38f9ee08109fc45,fa32df451e58e895,e816f9f71950dc59,45ffa9e611afb8b1,9bb78b9e5c4f9352,63c043308a79fa08,f9e2d765cd363e34,77133cf08b0579bd,ff97f95b5f54e1d3,ffb36133fb3c44e2,ffa2b38d29314bc3,ffadebad4a6c0a75,ff5e8b03af95a7bb,ff7712a315a6969,ff7e5bf81a779007,ff9e73a4e6bf9fbe,ff7e5bf81a779007,ff9e5536c1bdc5b,ff7e5bf81a779007,ff617e65d9e65d3d,ff7e5bf81a779007,ff7e5bf81a779007,ff34c1981fcf891e
822a4de52c3becec,aed9597fc6984d64,6ee8f8f6ab60ba22,7015399370b9a426,7015399370b9a426,a455b3d89d7d6a3b,1482c1813a63c94,c0c1ded47b682442,a455b3d89d7d6a3b,c0c1ded47b682442,e32ca7352a0ebdf7,85eb3f2a4f363ea4,f77ccadaf64a02bc,e32ca7352a0ebdf7,f77ccadaf64a02bc,18bad00d478d6a3b,f77ccadaf64a02bc,e32ca7352a0ebdf7,d1afc6d7c4661d7e,c885df69f0e13074,f77ccadaf64a02bc,f77ccadaf64a02bc,d74bf337b5cb5e3e,a99a477e2c336bb9,15432cd5a7a248a4,2471baf630011331,cf546d7d0589808a,1c01ee4dd1bb28d,d1810a501fa98ab2,ff7e5bf81a779007,2c89311e1221a488,b0113e9601a5e20b,7a53d34ced3fcf18,79d447123edecf54,cacf86baa663d6cb,b11ec75736c46ef9,69523f6d799a11ff,67c7bf3413624171,95f539d99803d143,f546c50dc6567283,4e5970f30988ba02,ff69e539504b4f10,ffa2b38d29314bc3,ff5e8b03af95a7bb,ff8f2f02cb5ea970,ff536b29aec2a812,ff5e8b03af95a7bb,ff5ac549aae3e1cc,ff7e5bf81a779007,ff5e8b03af95a7bb,ff7712a315a6969,ff7712a315a6969,ff5e8b03af95a7bb,ff5e8b03af95a7bb,ff5e8b03af95a7bb,ff28327bca9330da
27fe4963d208cd05,145f396033d3aeae,65f389606f87b87,6ee8f8f6ab60ba22,6ee8f8f6ab60ba22,c885df69f0e13074,aed9597fc6984d64,68cc41bf098323f6,e32ca7352a0ebdf7,a455b3d89d7d6a3b,c885df69f0e13074,c885df69f0e13074,e32ca7352a0ebdf7,c885df69f0e13074,e32ca7352a0ebdf7,c0c1ded47b682442,5ca84e93ce642010,c885df69f0e13074,306243851b716bf6,36e7063e0ab233,d74bf337b5cb5e3e,d74bf337b5cb5e3e,c885df69f0e13074,9a62d2ea28d18449,d774f9ea19ca3e2e,c2cfb840e7f85e85,7004bf489f107c3e,cb1e829ea968637c,1d3dab3201453b0b,58086e529afcf59e,f63e1b2d5acdaf1e,3688c15cee1e78bb,11f08da6ecae6293,bea80db0f180fd72,addab2e643a58509,1e19e085ef074fdf,79134d2f372ab41e,879096d28dc3ee78,bc5e9e8a52c4cc88,f0e36fe7dcf0fb99,5d4d82f2165c7393,ff5e8b03af95a7bb,ff228f6abaec7de6,ff228f6abaec7de6,ff8c2baa79c5b1ab,ff3ebe312e48512e,ff5ac549aae3e1cc,ff3169d945056ed2,ff5e8b03af95a7bb,ff5dfcd62c9cc685,ff5e8b03af95a7bb,ff5e8b03af95a7bb,ff34c1981fcf891e,ff5ac549aae3e1cc,ff34c1981fcf891e,ff228f6abaec7de6
e67dedcabeb6fefd,44a4cb8186fed67b,7a96b1c1bfe5ee31,65f389606f87b87,65f389606f87b87,f999e2edb34a67f0,145f396033d3aeae,a455b3d89d7d6a3b,c885df69f0e13074,e32ca7352a0ebdf7,4104f3309ac20f06,ed0627b1d9f29eca,8b6d7117521637c5,ed0627b1d9f29eca,c8c2a28be96ef4a9,f77ccadaf64a02bc,c885df69f0e13074,ed0627b1d9f29eca,c885df69f0e13074,ed0627b1d9f29eca,c885df69f0e13074,c27aedf0cee247dd,ed0627b1d9f29eca,d74bf337b5cb5e3e,9b2d519f1e265cbc,1db6398d6870dd1d,6aad6855db8e50cd,57def9d92772fdc5,283f698cf3742a5,924be98e680e89ff,58d1c4325d79ff7a,5b5863666f850f42,642272dde39ba2c,23509250a54cc91a,6c805c42a56b7f52,1dd7d3cae7566430,effdfdf2ce9c7e8b,6db3c1726e8d612f,bd1508ae09fdedb1,447e9b3836c374c6,625569c17c08c57a,ff228f6abaec7de6,fed60d6d85dc3042,fef52075a5a36bab,ff79939ec5638e55,ff228f6abaec7de6,ff228f6abaec7de6,ff228f6abaec7de6,ff5dfcd62c9cc685,ff5ac549aae3e1cc,ff5dfcd62c9cc685,ff34c1981fcf891e,ff228f6abaec7de6,ff34c1981fcf891e,ff228f6abaec7de6,ff04a84d2dfcbc6e
407d67f50877e6f9,6ee8f8f6ab60ba22,d62ba9b8f6e27a93,7a96b1c1bfe5ee31,7a96b1c1bfe5ee31,1482c1813a63c94,5ce771da1991dc21,e32ca7352a0ebdf7,4104f3309ac20f06,161665d78ffac6ce,ed0627b1d9f29eca,aed9597fc6984d64,c885df69f0e13074,1482c1813a63c94,113ccaaf707ab8de,e32ca7352a0ebdf7,36e7063e0ab233,aed9597fc6984d64,ed0627b1d9f29eca,aed9597fc6984d64,aed9597fc6984d64,c885df69f0e13074,47699b091b36a79,c885df69f0e13074,7bb31f06eaf858e9,f66035bf282c002f,2fce08bef55d5056,e0ef0dfd8647d286,bd91fae53082f43b,9cd7fc06def8c468,15432cd5a7a248a4,b914c55a80c7cdd2,83387a8b522d8e0e,f536e5415399544,5df68098aca90962,1c01ee4dd1bb28d,ee31a3d7acf041f7,5bac0ab882ed731d,7cb35df6232e6fa6,715be7ae210b216c,853295cc40f591bb,ff1d7ca8da61a002,feb53d2214a95ac2,fed60d6d85dc3042,ff5cf2f44f689331,ff078d50aa74fadc,ff078d50aa74fadc,ff078d50aa74fadc,ff28327bca9330da,ff34c1981fcf891e,ff5ac549aae3e1cc,ff228f6abaec7de6,ff00fd66705657db,ff228f6abaec7de6,ff1aba0f0bfda71b,ff00fd66705657db
