2017-10-01,2017-10-02,2017-10-03,2017-10-04,2017-10-05,2017-10-06,2017-10-07,2017-10-08,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-14,2017-10-15,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-21,2017-10-22,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-28,2017-10-29,2017-10-30,2017-10-31
285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,285020521074059,0036e6390a9e17b1,210521720553290
809648411450600060878848,001ee3d4fd0d1393,00a283e65135076e,001ee3d4fd0d1393,001ee3d4fd0d1393,00183d9b2185718e,00183d9b2185718e,00183d9b2185718e,3400079692024900096,001ee3d4fd0d1393,001ee3d4fd0d1393,001f310e1658e4c0,001ee3d4fd0d1393,001c1e62e423bc74,712841757069599955113783742623294829753520912827006145889315878910923924295603191808,001f310e1658e4c0,00035cc291109b4d,87463922506848000,87463922506848000,87463922506848000,87463922506848000,2668002693824000,777708111208140,65644797955260004700058254202709085664518766853497489217167749545984,00183d9b2185718e,9805270173756200,946770812031453,87463922506848000,791104541223570,0075d7095f5747bf,285020521074059
001ee3d4fd0d1393,003e88d939e8e08c,00c7e013b900e087,002537a9182f4afd,0058339e87a02771,001ee3d4fd0d1393,001ee3d4fd0d1393,001ee3d4fd0d1393,001ca7d76f7d79ee,00637658298c8697,00637658298c8697,002537a9182f4afd,001f310e1658e4c0,001ee3d4fd0d1393,001f310e1658e4c0,004985c5898f4e5a,001f310e1658e4c0,001ee3d4fd0d1393,0036e6390a9e17b1,0086ca4569ddb275,001ee3d4fd0d1393,9003299644988999788100830086472234148586498080857500763773942628352,2668002693824000,0075d7095f5747bf,001ee3d4fd0d1393,712841757069599955113783742623294829753520912827006145889315878910923924295603191808,84224647172800004002043314928641969523160097535380828893419740866748709250416974568730834881346674548045848055535143516728946025904653761319344319927874247724884883517966007125742843912993631560232501062688494329092188140625012010925341615958181328694094435384655191667113984,001ee3d4fd0d1393,00183d9b2185718e,0080ca8989207f44,0045aea2ac6edb5a
0036e6390a9e17b1,0058339e87a02771,00d176adc3530e7a,007068741fbfb611,005f81093b87079e,005f81093b87079e,009197e411270447,0075d7095f5747bf,001ee3d4fd0d1393,0075d7095f5747bf,00a283e65135076e,00333c12e951d80f,005e82b46a140371,001f310e1658e4c0,0084734c5647a794,00637658298c8697,006a0e6289206391,00333c12e951d80f,0075d7095f5747bf,009197e411270447,005910532d8da2db,00035cc291109b4d,9003299644988999788100830086472234148586498080857500763773942628352,0080ca8989207f44,004e346b5919cc6e,00035cc291109b4d,00575aa68c6fa471,00708783608f9c75,001ee3d4fd0d1393,008a6268864a39c6,00575aa68c6fa471
006d67db40a6b9cb,005a39201eca94a6,00ee8ca909d29a0b,009197e411270447,00c5c32a8b4cf470,0083197a98ac8d3b,00c7e013b900e087,009197e411270447,005910532d8da2db,009bbc31d72e4fa8,00d176adc3530e7a,0058339e87a02771,0075d7095f5747bf,0058339e87a02771,009f4302a2ce732a,0075d7095f5747bf,0075d7095f5747bf,0036e6390a9e17b1,0084734c5647a794,009f4302a2ce732a,0075d7095f5747bf,001ca7d76f7d79ee,00035cc291109b4d,009197e411270447,005a39201eca94a6,00575aa68c6fa471,00637658298c8697,0075d7095f5747bf,006d67db40a6b9cb,009197e411270447,00a843d1fc13c7da
00d176adc3530e7a,00667d9b5ba84c7e,0106e91fdcf68c8f,00d176adc3530e7a,00d176adc3530e7a,009197e411270447,00ee8ca909d29a0b,00c7e013b900e087,005a39201eca94a6,009f4302a2ce732a,0106e91fdcf68c8f,009197e411270447,009197e411270447,0075d7095f5747bf,00a283e65135076e,0084734c5647a794,009197e411270447,009197e411270447,00ab482db447b191,00ab482db447b191,0084734c5647a794,001ee3d4fd0d1393,001ee3d4fd0d1393,00b181d42efe6076,0075d7095f5747bf,005a39201eca94a6,00708783608f9c75,0080ca8989207f44,0075d7095f5747bf,009f4302a2ce732a,00cbf9d0443f88ce
0124329ddfdf5bc9,009197e411270447,015e1492a919870b,00ee8ca909d29a0b,00ee8ca909d29a0b,00c7e013b900e087,0106e91fdcf68c8f,00d176adc3530e7a,00637658298c8697,00d176adc3530e7a,0113fc1ffb3b4a1b,00a283e65135076e,00d176adc3530e7a,00d176adc3530e7a,00d176adc3530e7a,00d176adc3530e7a,00d176adc3530e7a,00d176adc3530e7a,00d176adc3530e7a,00d176adc3530e7a,00878270bf1faa91,0058339e87a02771,005a39201eca94a6,00d176adc3530e7a,01047bb20ecc9e78,0080ca8989207f44,0080ca8989207f44,00837336d0495b18,008a6268864a39c6,00a843d1fc13c7da,00f526be881e2cd7
01857c89de547029,00d176adc3530e7a,018bf54bf56e183d,0106e91fdcf68c8f,0106e91fdcf68c8f,00d176adc3530e7a,0113fc1ffb3b4a1b,0106e91fdcf68c8f,0075d7095f5747bf,0106e045dd591c45,0163f5857b115182,00c7e013b900e087,0106e91fdcf68c8f,00d9109e2c74ec60,00dd653006150283,0106e91fdcf68c8f,00dd653006150283,00e81cfd3aa40ec1,00ff0b4f94681107,0106e91fdcf68c8f,009f4302a2ce732a,009197e411270447,0080ca8989207f44,00ee8ca909d29a0b,0106e91fdcf68c8f,00ab482db447b191,00837336d0495b18,008954805c71e0aa,009197e411270447,00b2bd9994f7227a,01047bb20ecc9e78
018bf54bf56e183d,00ee8ca909d29a0b,01de067cd02257ec,011d5140380f8f44,01754bbc0506b8d1,00ee8ca909d29a0b,0124329ddfdf5bc9,0113fc1ffb3b4a1b,008e9d0af0760a67,0106e91fdcf68c8f,018bf54bf56e183d,00d176adc3530e7a,0161085a93464842,00dd653006150283,0106e91fdcf68c8f,010ca4ce74d6f712,00ff0b4f94681107,0106e91fdcf68c8f,0106e91fdcf68c8f,012c22da12cdc4dd,00a283e65135076e,00ccad68e691a93f,009197e411270447,00f9d56cb2323dae,0124329ddfdf5bc9,00dd653006150283,00f526be881e2cd7,009197e411270447,009f4302a2ce732a,00cbf9d0443f88ce,0106e91fdcf68c8f
01d1c392a9dcb62e,0124329ddfdf5bc9,01e5c3cccb4c55f7,0124329ddfdf5bc9,01de067cd02257ec,0106e91fdcf68c8f,01477c7ba7f8433e,0124329ddfdf5bc9,009a6c7b8ffc9a5b,0124329ddfdf5bc9,01a84ad392746d97,0106e91fdcf68c8f,018bf54bf56e183d,011bbdc8243802dc,010d0b38daa66426,012c22da12cdc4dd,0106e91fdcf68c8f,012c22da12cdc4dd,0124329ddfdf5bc9,014c87b2ef5d2162,00ab482db447b191,00d176adc3530e7a,00f9d56cb2323dae,0106e91fdcf68c8f,012c22da12cdc4dd,00ee8ca909d29a0b,0106e91fdcf68c8f,00cbf9d0443f88ce,00a843d1fc13c7da,01047bb20ecc9e78,01153aa28a359664
01de067cd02257ec,015e1492a919870b,01ee57d1cc1410cd,015e1492a919870b,020d7952789be033,0113fc1ffb3b4a1b,0155a73f2c8a0b3d,013dc4a8a2cb63b2,00d176adc3530e7a,01857c89de547029,01cd32abcdf8c620,0161085a93464842,018cdff2a18d47d0,0124329ddfdf5bc9,012becbbe9277506,012edc63aa26d2fd,0124329ddfdf5bc9,012edc63aa26d2fd,012c22da12cdc4dd,015e1492a919870b,00d176adc3530e7a,00ee8ca909d29a0b,0106e91fdcf68c8f,0124329ddfdf5bc9,014c87b2ef5d2162,00f9d56cb2323dae,011c77061b8b7147,00ee8ca909d29a0b,00b2bd9994f7227a,0106e91fdcf68c8f,012c22da12cdc4dd
01e5c3cccb4c55f7,018bf54bf56e183d,02071bd88ca94b8e,01857c89de547029,021dc43b7157924c,0124329ddfdf5bc9,018bf54bf56e183d,018bf54bf56e183d,00ee8ca909d29a0b,018bf54bf56e183d,01db546f14ac1c95,018bf54bf56e183d,019c6758793036f3,0161085a93464842,012c22da12cdc4dd,014c87b2ef5d2162,012c22da12cdc4dd,014c87b2ef5d2162,014c87b2ef5d2162,017911c2dcf002db,00ecb1eb3988c543,00f526be881e2cd7,01262cdf92bec8b6,012edc63aa26d2fd,0168ac47da92b3b9,0106e91fdcf68c8f,014c87b2ef5d2162,00f526be881e2cd7,00cbf9d0443f88ce,0113fc1ffb3b4a1b,012edc63aa26d2fd
02033f9774171761,018cdff2a18d47d0,020d7952789be033,018bf54bf56e183d,02212a2f97c54b81,013dc4a8a2cb63b2,01cd32abcdf8c620,0194322280ae8845,0113fc1ffb3b4a1b,018cdff2a18d47d0,01de067cd02257ec,019c6758793036f3,01a8fef914943d70,0168ac47da92b3b9,0168ac47da92b3b9,0168ac47da92b3b9,012edc63aa26d2fd,01640bf01800d57b,0163f5857b115182,01857c89de547029,00f9d56cb2323dae,00f9d56cb2323dae,014c87b2ef5d2162,0168ac47da92b3b9,018bf54bf56e183d,012c22da12cdc4dd,0153fcecf4055775,01047bb20ecc9e78,00d176adc3530e7a,012c22da12cdc4dd,01307a4a42444d7f
0206b4b42fcf6236,01d1c392a9dcb62e,021daa0116f0cced,019c6758793036f3,0252c0b80107fd1b,0169a02bebdd890f,01db546f14ac1c95,019c6758793036f3,0124329ddfdf5bc9,01af5bebad5c76d9,01e55bc94450f629,01a84ad392746d97,01cd32abcdf8c620,0172b9579968af68,018bf54bf56e183d,018bf54bf56e183d,014c87b2ef5d2162,018bf54bf56e183d,0168ac47da92b3b9,018bf54bf56e183d,00ff0b4f94681107,0106e91fdcf68c8f,0168ac47da92b3b9,017577fb234c80e5,019c6758793036f3,014c87b2ef5d2162,015e1492a919870b,0106e91fdcf68c8f,00ec36513946f852,012edc63aa26d2fd,0149a3b10c742675
021dc43b7157924c,01de067cd02257ec,021dc43b7157924c,01cd2de7b8eb1dba,0262d468f0962214,01754bbc0506b8d1,01de067cd02257ec,01bf43ccaca573cc,017142c5d25d0782,01cd32abcdf8c620,020d7952789be033,01bf43ccaca573cc,01d1c392a9dcb62e,018bf54bf56e183d,019c6758793036f3,019c6758793036f3,0163f5857b115182,01a26b0b489b958d,018bf54bf56e183d,01a8fef914943d70,0106e91fdcf68c8f,0124329ddfdf5bc9,018bf54bf56e183d,018bf54bf56e183d,01a8fef914943d70,0153fcecf4055775,0186db92f409d1a9,012c22da12cdc4dd,00ee8ca909d29a0b,013c89c182ed6772,014c87b2ef5d2162
